epoch,loss,mse,val_loss,val_mse
0,0.03782161325216293,0.03782161325216293,0.058958567678928375,0.058958567678928375
1,0.018952570855617523,0.018952570855617523,0.46353331208229065,0.4635337293148041
2,0.01738986186683178,0.01738986372947693,0.07544804364442825,0.07544808089733124
3,0.016402047127485275,0.016402048990130424,0.01667153276503086,0.01667153090238571
4,0.01579439267516136,0.015794390812516212,0.016341326758265495,0.016341323032975197
5,0.015537532046437263,0.015537532977759838,0.016052860766649246,0.016052858904004097
6,0.015085299499332905,0.01508529856801033,0.014885441400110722,0.014885440468788147
7,0.01469125784933567,0.014691255986690521,0.01566673070192337,0.015666725113987923
8,0.01453347411006689,0.01453347411006689,0.01455694530159235,0.014556946232914925
0,0.014294322580099106,0.01429432351142168,0.014808908104896545,0.01480890903621912
1,0.014101040549576283,0.014101041480898857,0.014051321893930435,0.01405132096260786
2,0.013931188732385635,0.013931188732385635,0.2983010709285736,0.2983012795448303
3,0.013561711646616459,0.013561712577939034,0.013960822485387325,0.01396083366125822
4,0.013383852317929268,0.013383851386606693,0.013580989092588425,0.013580994680523872
5,0.013472232967615128,0.013472234830260277,0.013423057273030281,0.01342306099832058
6,0.013258875347673893,0.013258875347673893,0.013223754242062569,0.013223755173385143
7,0.01308284793049097,0.013082846999168396,0.013180267997086048,0.013180265203118324
8,0.01303775329142809,0.013037757016718388,0.012946628965437412,0.012946626171469688
9,0.013007036410272121,0.013007035478949547,0.013017258606851101,0.0130172623321414
0,0.012785323895514011,0.012785322032868862,0.012945622205734253,0.012945620343089104
1,0.012794909998774529,0.012794910930097103,0.012750771827995777,0.012750769034028053
2,0.012757540680468082,0.012757540680468082,0.012670145370066166,0.01267014630138874
3,0.012529009021818638,0.012529007159173489,0.012659119442105293,0.012659124098718166
4,0.012446963228285313,0.012446964159607887,0.012596544809639454,0.012596537359058857
5,0.01260955911129713,0.01260956097394228,0.012566402554512024,0.012566406279802322
6,0.012455626390874386,0.012455625459551811,0.012506788596510887,0.012506787665188313
7,0.012358362786471844,0.012358360923826694,0.012368814088404179,0.012368815951049328
8,0.012364867143332958,0.012364869005978107,0.012283853255212307,0.012283853255212307
9,0.012441166676580906,0.01244116760790348,0.012603506445884705,0.012603509239852428
10,0.01215553842484951,0.012155539356172085,0.01235915906727314,0.01235916092991829
11,0.012250208295881748,0.012250207364559174,0.01215644832700491,0.01215644832700491
12,0.01216225977987051,0.012162260711193085,0.012264933437108994,0.012264931574463844
13,0.01222951989620924,0.01222951989620924,0.012078351341187954,0.012078349478542805
14,0.011799827218055725,0.011799827218055725,0.012135708704590797,0.012135710567235947
